review_id,date,customer_plan,company_size,rating,category,title,review_text
R001,2026-02-08,Pro,45,2,Bug Report,Mobile app lost my changes,"Spent 30 minutes editing tasks on the new mobile app while on the train. When I got to the office the changes were gone. This is the third time this month."
R002,2026-02-07,Enterprise,180,4,Feature Request,Need Gantt dependencies,"Love the new Gantt chart but without task dependencies it's just a pretty timeline. When are real dependencies coming?"
R003,2026-02-07,Core,22,5,Praise,Best PM tool we've tried,"Switched from Asana 6 months ago and haven't looked back. Simple clean and just works for our small team."
R004,2026-02-06,Pro,65,1,Complaint,API v2 broke our integration,"You deprecated API v1 with 30 days notice and the v2 docs are incomplete. Our Zapier workflows have been broken for 2 weeks."
R005,2026-02-06,Pro,38,3,Support Issue,Can't figure out custom fields,"Upgraded to Pro specifically for custom fields but can't find where to set them up. Support responded in 3 days which felt slow."
R006,2026-02-05,Enterprise,200,2,Bug Report,Duplicate notifications driving us crazy,"Since the January notification migration everyone on our team gets 2-3 copies of every email notification. We've submitted 4 tickets about this."
R007,2026-02-05,Core,15,4,Praise,Simple and affordable,"We're a small nonprofit and CloudTask Core gives us everything we need without the enterprise price tag."
R008,2026-02-04,Pro,55,3,Feature Request,Need better time tracking reports,"Time tracking exists but the reports are too basic. Can't break down by project AND team member AND date range."
R009,2026-02-04,Enterprise,150,1,Complaint,Performance is unacceptable,"Our main project has 600+ tasks and takes 45 seconds to load. At $30/user/month for 150 people this is embarrassing."
R010,2026-02-03,Pro,42,4,Praise,Gantt chart is a game changer,"Finally we can visualize our project timelines. Dependencies would make it perfect but even without them it's useful."
R011,2026-02-03,Core,18,5,Praise,Perfect for our startup,"CloudTask Core is exactly what a 18-person startup needs. No bloat no confusion just task management that works."
R012,2026-02-03,Enterprise,165,2,Bug Report,Mobile app crashes on project switch,"The redesigned mobile app crashes every time I switch between projects quickly. Have to force-close and reopen."
R013,2026-02-02,Pro,70,1,Complaint,API v2 webhook docs are wrong,"Spent a full day trying to set up webhooks with API v2. The documentation examples return 400 errors. Had to reverse-engineer the actual payload format."
R014,2026-02-02,Pro,50,3,Feature Request,Want recurring tasks,"We have weekly standup prep and monthly report tasks. Having to manually recreate them every time is tedious."
R015,2026-02-02,Enterprise,190,2,Bug Report,Duplicate email notifications still happening,"We reported duplicate notifications 3 weeks ago. Got a response saying it was fixed but we're still getting doubles on every update."
R016,2026-02-01,Core,25,4,Praise,Onboarding was smooth,"Got our whole team set up in under an hour. The Kanban board is intuitive and everyone picked it up immediately."
R017,2026-02-01,Pro,48,2,Bug Report,Mobile offline mode is broken,"Edited 5 tasks while offline at a client site. When I reconnected only 2 of them saved. The others just vanished."
R018,2026-02-01,Enterprise,130,3,Feature Request,Need project-level permissions granularity,"We need to restrict certain team members to specific project views. Current permissions are too coarse for our compliance needs."
R019,2026-01-31,Pro,60,1,Complaint,Performance on large projects is terrible,"Our 400-task project takes over 30 seconds to load. We're paying for Pro and can't even load our main project without waiting."
R020,2026-01-31,Core,20,5,Praise,Love the simplicity,"After trying Monday.com Notion and ClickUp we landed on CloudTask. It does less but does it well."
R021,2026-01-31,Enterprise,175,2,Bug Report,Notifications sent at wrong times,"Since the notification migration we get email digests at 3 AM instead of 9 AM. The timezone setting seems to be ignored."
R022,2026-01-30,Pro,55,3,Support Issue,Support took 5 days to respond,"Opened a ticket about our broken Zapier integration. Got a response 5 days later saying they'd look into it. Still waiting."
R023,2026-01-30,Pro,40,4,Praise,Gantt view saved our product launch,"Used the new Gantt chart to plan our product launch. Made it easy to see overlapping timelines. Great addition."
R024,2026-01-30,Enterprise,200,1,Complaint,SSO broke after January update,"Our SAML SSO stopped working after the January mobile app update. Took 3 days of back-and-forth with support to fix. Enterprise customers should not experience this."
R025,2026-01-29,Core,12,4,Praise,Great value for money,"We compared 8 PM tools and CloudTask Core was the best value. Free tier covers our basic needs perfectly."
R026,2026-01-29,Pro,65,2,Bug Report,Mobile app notifications don't link correctly,"Tapping a notification in the new mobile app takes me to the wrong project or sometimes just the home screen."
R027,2026-01-29,Enterprise,145,3,Feature Request,Need audit log export,"We have audit logs but can't export them. Our compliance team needs to pull these quarterly for SOC 2."
R028,2026-01-28,Pro,35,3,Feature Request,AI task suggestions are hit or miss,"The AI suggestions sometimes nail it but often suggest assigning tasks to people who left the project months ago."
R029,2026-01-28,Pro,50,2,Bug Report,Duplicate notifications on mobile and email,"Getting the same notification on my phone AND two copies via email. Three alerts for one task update is excessive."
R030,2026-01-28,Core,28,5,Praise,Exactly what we needed,"Small marketing agency here. CloudTask is the first PM tool our whole team actually uses daily. Simple wins."
R031,2026-01-27,Enterprise,160,1,Complaint,Performance degradation is getting worse,"Page load times have increased 3x in the last month for our large projects. We're evaluating alternatives if this isn't fixed soon."
R032,2026-01-27,Pro,45,4,Feature Request,Gantt chart needs milestones,"The Gantt view is great but we need milestone markers for key dates. Without them it's hard to see deadlines at a glance."
R033,2026-01-27,Pro,58,2,Bug Report,Mobile app drains battery,"Since the redesign the mobile app drains my phone battery noticeably faster. Using about 15% battery in an hour of use."
R034,2026-01-26,Core,15,3,Support Issue,Help docs are outdated,"Tried following the help docs to set up a new workspace. Half the screenshots show the old UI. Got confused multiple times."
R035,2026-01-26,Enterprise,185,2,Bug Report,Duplicate notifications even after fix,"Your team said duplicate notifications were fixed on Jan 20. We're still getting them. Every. Single. Time."
R036,2026-01-26,Pro,42,4,Praise,Slack integration works great,"Connected CloudTask to Slack and now task updates flow right into our channels. This alone was worth the Pro upgrade."
R037,2026-01-25,Pro,70,1,Complaint,API v2 rate limits are too aggressive,"We hit API rate limits doing basic sync operations. v1 handled our volume fine. v2 throttles us after 100 requests."
R038,2026-01-25,Core,20,4,Praise,Mobile app redesign looks great,"The new mobile app looks much more modern. A few quirks but overall a nice improvement in design."
R039,2026-01-25,Enterprise,140,3,Feature Request,Need custom workflow automation,"We want if-then rules like: if task moves to Done then assign review task to QA. Basic automation would be huge."
R040,2026-01-24,Pro,55,2,Bug Report,Mobile app lost offline edits again,"Third time losing offline changes. I've stopped trusting the mobile app for anything important."
R041,2026-01-24,Pro,48,3,Feature Request,AI suggestions need context awareness,"The AI task suggestion feature suggested I assign a design task to our backend developer. It needs to learn team roles."
R042,2026-01-24,Enterprise,170,2,Complaint,Pricing increase feels unfair,"I know existing customers are grandfathered but we're adding 30 new employees and they have to pay the new higher rate. Feels like a bait and switch."
R043,2026-01-23,Core,22,5,Praise,Couldn't be happier,"6 months in and CloudTask is still the best decision we made for project management. Clean simple effective."
R044,2026-01-23,Pro,60,1,Complaint,Performance makes it unusable for real projects,"Any project over 300 tasks is painfully slow. The loading spinner has become our team's most-seen screen."
R045,2026-01-23,Pro,38,3,Bug Report,Search doesn't find tasks consistently,"Searched for a task by exact title and got no results. Found it manually by scrolling. Search is unreliable."
R046,2026-01-22,Enterprise,195,2,Bug Report,Triple duplicate notifications,"We're now getting THREE copies of every email notification. This started after the January 15 hotfix."
R047,2026-01-22,Pro,45,4,Feature Request,Need dependencies in Gantt,"The Gantt chart would be 10x more useful with task dependencies. Right now I'm manually tracking which tasks block others."
R048,2026-01-22,Core,18,3,Support Issue,Can't delete a workspace,"Tried to delete an old workspace and there's no option. Submitted a support ticket and was told it requires manual intervention."
R049,2026-01-21,Pro,52,2,Bug Report,Mobile app sync issues after redesign,"Tasks I complete on mobile still show as open on desktop. Takes 5-10 minutes to sync sometimes."
R050,2026-01-21,Enterprise,155,3,Feature Request,Need time tracking integration with payroll,"Time tracking is nice but we need to export hours in a format compatible with ADP or Gusto for payroll."
R051,2026-01-21,Pro,65,1,Complaint,API v2 migration was a disaster,"No migration guide. Incomplete docs. Changed field names without mapping. This is how you lose developer trust."
R052,2026-01-20,Core,25,5,Praise,My team actually uses it,"We've tried 4 PM tools. CloudTask is the first one the whole team adopted without me having to nag anyone."
R053,2026-01-20,Pro,40,4,Praise,AI suggestions are improving,"The AI task assignment suggestions were bad at first but they're getting better as it learns our team patterns."
R054,2026-01-20,Enterprise,180,2,Bug Report,Notifications timezone bug confirmed,"Ran tests and confirmed: notification timezone is always UTC regardless of user settings. Enterprise bug report #4521."
R055,2026-01-19,Pro,55,3,Feature Request,Need subtask progress rollup,"Want parent tasks to show percentage complete based on their subtasks. Currently it's all manual."
R056,2026-01-19,Core,15,4,Praise,Simple onboarding,"Got our team up and running in 45 minutes. The UI is clean enough that nobody needed training."
